This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is a faulty agent
{'n_agents': 5, 'agent_label': ['Cooperative', 'Cooperative', 'Cooperative', 'Cooperative', 'Faulty'], 'n_actions': 5, 'n_states': 2, 'n_episodes': 10000, 'max_ep_len': 20, 'slow_lr': 0.002, 'fast_lr': 0.01, 'gamma': 0.9, 'H': 0, 'eps': 0.05, 'n_ep_fixed': 100, 'n_epochs': 20, 'in_nodes': [[0, 1, 2, 3], [1, 2, 3, 4], [2, 3, 4, 0], [3, 4, 0, 1], [4, 0, 1, 2]], 'randomize_state': True, 'scaling': True, 'resilient_method': 'projection-based', 'summary_dir': './simulation_results/', 'random_seed': 100, 'desired_state': array([[0, 0],
       [3, 0],
       [2, 4],
       [2, 5],
       [2, 2]]), 'initial_state': array([[2, 1],
       [0, 0],
       [4, 3],
       [4, 2],
       [0, 3]])}
| Episode: 57 | Est. returns: -0.7710344791412354 | Returns: [-4.0200074  -1.62332567 -2.25037075 -4.27857154 -3.22953436] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 58 | Est. returns: -0.6361183524131775 | Returns: [-5.33208271 -5.13072007 -3.75167833 -1.30626329 -3.70513856] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 59 | Est. returns: -0.5757620334625244 | Returns: [-7.06896421 -1.65806153 -2.82250413 -4.07770911 -3.85686365] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 60 | Est. returns: -0.5361974835395813 | Returns: [-4.27681395 -3.47612336 -2.1305226  -1.79096483 -2.84781266] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 61 | Est. returns: -0.8469273447990417 | Returns: [-3.57268458 -2.53447851 -3.50665439 -4.15396866 -2.50029363] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 62 | Est. returns: -0.15800927579402924 | Returns: [-6.14428961 -3.78869138 -3.92757558 -3.41215985 -3.66801442] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 63 | Est. returns: -1.1563808917999268 | Returns: [-2.45455826 -5.04947542 -3.33292032 -4.24895316 -2.29851398] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 64 | Est. returns: -0.39758920669555664 | Returns: [-5.67507773 -2.53543786 -1.57864409 -2.26951357 -2.71292336] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 65 | Est. returns: -0.6226248741149902 | Returns: [-3.76280538 -1.11278952 -3.2307546  -4.08537591 -2.47981264] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 66 | Est. returns: -1.42880380153656 | Returns: [-5.47539831 -3.03186649 -3.35225118 -3.27844517 -5.02308551] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 67 | Est. returns: -0.7120171189308167 | Returns: [-6.46360027 -1.93813178 -1.74057515 -6.50075459 -3.42307577] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 68 | Est. returns: -0.6881860494613647 | Returns: [-1.81922494 -2.98978848 -3.70898337 -2.42167568 -3.59024494] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 69 | Est. returns: -0.7988553047180176 | Returns: [-4.3570435  -1.5331344  -3.44984679 -4.65283745 -2.71253081] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 70 | Est. returns: -1.4373692274093628 | Returns: [-2.00796852 -3.90694558 -3.98067416 -5.94686226 -3.81000412] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 71 | Est. returns: -0.5010877251625061 | Returns: [-1.34847828 -3.02696123 -2.85675027 -1.95433156 -2.12810401] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 72 | Est. returns: -0.41914692521095276 | Returns: [-3.02992287 -2.59842044 -2.76619613 -4.0700082  -2.50044466] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 73 | Est. returns: -0.36902257800102234 | Returns: [-5.4071664  -3.83900409 -2.49950748 -5.09936243 -3.06039341] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 74 | Est. returns: -1.0022025108337402 | Returns: [-2.26159267 -3.61580693 -3.49800786 -1.27633452 -2.91916286] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 75 | Est. returns: -0.6073364019393921 | Returns: [-2.93470572 -2.92996432 -4.44178666 -1.04104873 -3.10754708] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 76 | Est. returns: -0.47533005475997925 | Returns: [-7.70734538 -3.40722731 -1.89356903 -3.37730936 -3.07031931] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 77 | Est. returns: -0.8153785467147827 | Returns: [-6.60430488 -1.56071815 -5.31165767 -6.2894505  -1.82287158] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 78 | Est. returns: -0.27615371346473694 | Returns: [-5.31963383 -1.74481572 -2.13550779 -2.3101531  -2.2021506 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 79 | Est. returns: -0.8915700316429138 | Returns: [-4.18912234 -4.41595753 -4.68132902 -6.16412932 -3.81865465] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 80 | Est. returns: -1.1609711647033691 | Returns: [-2.05387746 -3.87780609 -3.01325745 -1.86743746 -4.89683491] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 81 | Est. returns: -1.1325424909591675 | Returns: [-6.95896783 -3.01755943 -2.83428418 -3.56748892 -2.92937208] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 82 | Est. returns: -0.46199285984039307 | Returns: [-2.7791477  -4.49331192 -5.11233671 -2.78452774 -3.78453345] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 83 | Est. returns: -0.21140673756599426 | Returns: [-6.0553127  -1.82476635 -2.03493734 -4.24886999 -2.97293351] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 84 | Est. returns: -0.9341853857040405 | Returns: [-3.77879326 -4.63903724 -1.9286613  -2.0756227  -2.85857749] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
